Target1,Target2,Mean
alt.atheism,alt.atheism,0.0031730987397266992
alt.atheism,comp.graphics,0.0034111800649311258
alt.atheism,comp.os.ms-windows.misc,0.0037417026805082187
alt.atheism,comp.sys.ibm.pc.hardware,0.003742419388720241
alt.atheism,comp.sys.mac.hardware,0.0035842473585609106
alt.atheism,comp.windows.x,0.003390046280375465
alt.atheism,misc.forsale,0.0034547634544477386
alt.atheism,rec.autos,0.0031602107994599454
alt.atheism,rec.motorcycles,0.003103174031139518
alt.atheism,rec.sport.baseball,0.0032401531582115783
alt.atheism,rec.sport.hockey,0.0034501212791367667
alt.atheism,sci.crypt,0.0036574232190753194
alt.atheism,sci.electronics,0.003275201853248071
alt.atheism,sci.med,0.0032935187571628013
alt.atheism,sci.space,0.003244808081177827
alt.atheism,soc.religion.christian,0.0032094319405203578
alt.atheism,talk.politics.guns,0.0034266759268863677
alt.atheism,talk.politics.mideast,0.0036652866901559955
alt.atheism,talk.politics.misc,0.0033185082391339465
alt.atheism,talk.religion.misc,0.003225663360879465
comp.graphics,alt.atheism,0.0034111800649311258
comp.graphics,comp.graphics,0.002933482282340961
comp.graphics,comp.os.ms-windows.misc,0.003391281645598466
comp.graphics,comp.sys.ibm.pc.hardware,0.0034510027394371663
comp.graphics,comp.sys.mac.hardware,0.0033115844294467267
comp.graphics,comp.windows.x,0.0030436020782676904
comp.graphics,misc.forsale,0.003168217356476575
comp.graphics,rec.autos,0.0029616294501719448
comp.graphics,rec.motorcycles,0.0029070965000885293
comp.graphics,rec.sport.baseball,0.0030529701373273044
comp.graphics,rec.sport.hockey,0.003275358489405592
comp.graphics,sci.crypt,0.003488731155043569
comp.graphics,sci.electronics,0.0030021072927785414
comp.graphics,sci.med,0.00311519827517407
comp.graphics,sci.space,0.0030352325858246584
comp.graphics,soc.religion.christian,0.003277909882718637
comp.graphics,talk.politics.guns,0.0033355475420130697
comp.graphics,talk.politics.mideast,0.003583815091243701
comp.graphics,talk.politics.misc,0.003238556233873156
comp.graphics,talk.religion.misc,0.0032645825725858735
comp.os.ms-windows.misc,alt.atheism,0.0037417026805082187
comp.os.ms-windows.misc,comp.graphics,0.003391281645598467
comp.os.ms-windows.misc,comp.os.ms-windows.misc,0.0034726851542491006
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,0.0037108690825772236
comp.os.ms-windows.misc,comp.sys.mac.hardware,0.0036242747923122863
comp.os.ms-windows.misc,comp.windows.x,0.003318476757594581
comp.os.ms-windows.misc,misc.forsale,0.0034961681660046666
comp.os.ms-windows.misc,rec.autos,0.0033059131362975567
comp.os.ms-windows.misc,rec.motorcycles,0.0032632030906736766
comp.os.ms-windows.misc,rec.sport.baseball,0.0033987074145379495
comp.os.ms-windows.misc,rec.sport.hockey,0.003609781136407997
comp.os.ms-windows.misc,sci.crypt,0.003810906920241448
comp.os.ms-windows.misc,sci.electronics,0.0033628307288033304
comp.os.ms-windows.misc,sci.med,0.003474727745495798
comp.os.ms-windows.misc,sci.space,0.0034039157970444343
comp.os.ms-windows.misc,soc.religion.christian,0.003619401016374385
comp.os.ms-windows.misc,talk.politics.guns,0.0036624774663360543
comp.os.ms-windows.misc,talk.politics.mideast,0.0039015337395779835
comp.os.ms-windows.misc,talk.politics.misc,0.0035725963442575373
comp.os.ms-windows.misc,talk.religion.misc,0.003605158990404299
comp.sys.ibm.pc.hardware,alt.atheism,0.003742419388720241
comp.sys.ibm.pc.hardware,comp.graphics,0.0034510027394371655
comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,0.003710869082577225
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,0.003549674060100535
comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,0.003543185594888087
comp.sys.ibm.pc.hardware,comp.windows.x,0.003447565746735991
comp.sys.ibm.pc.hardware,misc.forsale,0.0034481326106660837
comp.sys.ibm.pc.hardware,rec.autos,0.00330306404007851
comp.sys.ibm.pc.hardware,rec.motorcycles,0.003264411652372259
comp.sys.ibm.pc.hardware,rec.sport.baseball,0.003409230270954825
comp.sys.ibm.pc.hardware,rec.sport.hockey,0.0036109705997669148
comp.sys.ibm.pc.hardware,sci.crypt,0.0038052876826885087
comp.sys.ibm.pc.hardware,sci.electronics,0.0033335307239167945
comp.sys.ibm.pc.hardware,sci.med,0.003474425098453604
comp.sys.ibm.pc.hardware,sci.space,0.0034119804149962177
comp.sys.ibm.pc.hardware,soc.religion.christian,0.003621507236485374
comp.sys.ibm.pc.hardware,talk.politics.guns,0.003661589779277008
comp.sys.ibm.pc.hardware,talk.politics.mideast,0.003902804255289998
comp.sys.ibm.pc.hardware,talk.politics.misc,0.003577739886209529
comp.sys.ibm.pc.hardware,talk.religion.misc,0.003606224329276197
comp.sys.mac.hardware,alt.atheism,0.0035842473585609106
comp.sys.mac.hardware,comp.graphics,0.003311584429446726
comp.sys.mac.hardware,comp.os.ms-windows.misc,0.0036242747923122863
comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,0.0035431855948880884
comp.sys.mac.hardware,comp.sys.mac.hardware,0.003246225877683615
comp.sys.mac.hardware,comp.windows.x,0.003303720353184867
comp.sys.mac.hardware,misc.forsale,0.0033032265898750913
comp.sys.mac.hardware,rec.autos,0.0031269804606633453
comp.sys.mac.hardware,rec.motorcycles,0.003086330114902494
comp.sys.mac.hardware,rec.sport.baseball,0.003235259698884491
comp.sys.mac.hardware,rec.sport.hockey,0.003444547389154653
comp.sys.mac.hardware,sci.crypt,0.0036578023261784427
comp.sys.mac.hardware,sci.electronics,0.003168220218997462
comp.sys.mac.hardware,sci.med,0.0033057816561127286
comp.sys.mac.hardware,sci.space,0.003238192991376421
comp.sys.mac.hardware,soc.religion.christian,0.0034609330894929723
comp.sys.mac.hardware,talk.politics.guns,0.0034981560393614825
comp.sys.mac.hardware,talk.politics.mideast,0.0037463238375572442
comp.sys.mac.hardware,talk.politics.misc,0.0034078226286743158
comp.sys.mac.hardware,talk.religion.misc,0.0034440094722051895
comp.windows.x,alt.atheism,0.003390046280375464
comp.windows.x,comp.graphics,0.003043602078267689
comp.windows.x,comp.os.ms-windows.misc,0.00331847675759458
comp.windows.x,comp.sys.ibm.pc.hardware,0.003447565746735991
