Target1,Target2,Mean
alt.atheism,alt.atheism,2.172036274509864e-06
alt.atheism,comp.graphics,6.29751241450475e-07
alt.atheism,comp.os.ms-windows.misc,5.944854232180032e-07
alt.atheism,comp.sys.ibm.pc.hardware,6.353567217835554e-07
alt.atheism,comp.sys.mac.hardware,6.484701374308885e-07
alt.atheism,comp.windows.x,5.912937258244885e-07
alt.atheism,misc.forsale,4.925663145858361e-07
alt.atheism,rec.autos,7.730803541899904e-07
alt.atheism,rec.motorcycles,7.462931681634957e-07
alt.atheism,rec.sport.baseball,7.327994278083994e-07
alt.atheism,rec.sport.hockey,7.033963298161656e-07
alt.atheism,sci.crypt,9.55960883956451e-07
alt.atheism,sci.electronics,6.548705345220967e-07
alt.atheism,sci.med,8.111466321642752e-07
alt.atheism,sci.space,7.82190741507948e-07
alt.atheism,soc.religion.christian,1.5769473347613582e-06
alt.atheism,talk.politics.guns,1.0896447910243908e-06
alt.atheism,talk.politics.mideast,1.0064919490039585e-06
alt.atheism,talk.politics.misc,1.100264346449107e-06
alt.atheism,talk.religion.misc,1.5027782910908654e-06
comp.graphics,alt.atheism,6.29751241450475e-07
comp.graphics,comp.graphics,1.4027867941819195e-06
comp.graphics,comp.os.ms-windows.misc,1.0577765691925351e-06
comp.graphics,comp.sys.ibm.pc.hardware,9.01477086471867e-07
comp.graphics,comp.sys.mac.hardware,8.235903850845868e-07
comp.graphics,comp.windows.x,9.439721498130343e-07
comp.graphics,misc.forsale,6.830868246946683e-07
comp.graphics,rec.autos,6.248832643288181e-07
comp.graphics,rec.motorcycles,5.903696037533975e-07
comp.graphics,rec.sport.baseball,5.663764583299025e-07
comp.graphics,rec.sport.hockey,5.31594223951529e-07
comp.graphics,sci.crypt,7.975397974999238e-07
comp.graphics,sci.electronics,7.389580890963989e-07
comp.graphics,sci.med,6.099948483381945e-07
comp.graphics,sci.space,6.90453731616104e-07
comp.graphics,soc.religion.christian,6.031237593597939e-07
comp.graphics,talk.politics.guns,6.394231824657107e-07
comp.graphics,talk.politics.mideast,5.31798965031957e-07
comp.graphics,talk.politics.misc,6.181434069390249e-07
comp.graphics,talk.religion.misc,5.999948656624841e-07
comp.os.ms-windows.misc,alt.atheism,5.944854232180033e-07
comp.os.ms-windows.misc,comp.graphics,1.0577765691925351e-06
comp.os.ms-windows.misc,comp.os.ms-windows.misc,1.910602727710536e-06
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,1.1235129329631944e-06
comp.os.ms-windows.misc,comp.sys.mac.hardware,8.78369815614278e-07
comp.os.ms-windows.misc,comp.windows.x,1.2057284611244676e-06
comp.os.ms-windows.misc,misc.forsale,7.23607832791876e-07
comp.os.ms-windows.misc,rec.autos,6.576957579498925e-07
comp.os.ms-windows.misc,rec.motorcycles,5.9756216815869e-07
comp.os.ms-windows.misc,rec.sport.baseball,5.747804197614805e-07
comp.os.ms-windows.misc,rec.sport.hockey,5.149547277999269e-07
comp.os.ms-windows.misc,sci.crypt,7.772812201579398e-07
comp.os.ms-windows.misc,sci.electronics,7.146796018942709e-07
comp.os.ms-windows.misc,sci.med,5.751889027900564e-07
comp.os.ms-windows.misc,sci.space,6.245857856896854e-07
comp.os.ms-windows.misc,soc.religion.christian,5.631492597421063e-07
