Target1,Target2,Mean
alt.atheism,alt.atheism,0.047010416300377535
alt.atheism,comp.graphics,0.013280603741325123
alt.atheism,comp.os.ms-windows.misc,0.012521381958065111
alt.atheism,comp.sys.ibm.pc.hardware,0.0133285019652867
alt.atheism,comp.sys.mac.hardware,0.013717652345627726
alt.atheism,comp.windows.x,0.01251823018184582
alt.atheism,misc.forsale,0.010426253371397857
alt.atheism,rec.autos,0.016218821417325658
alt.atheism,rec.motorcycles,0.015657666746912078
alt.atheism,rec.sport.baseball,0.015536553276418435
alt.atheism,rec.sport.hockey,0.014761493835406961
alt.atheism,sci.crypt,0.020019912279280364
alt.atheism,sci.electronics,0.013747576421317255
alt.atheism,sci.med,0.016980163751060602
alt.atheism,sci.space,0.016439834514632524
alt.atheism,soc.religion.christian,0.03265801140534141
alt.atheism,talk.politics.guns,0.02294999751553526
alt.atheism,talk.politics.mideast,0.02106742326318073
alt.atheism,talk.politics.misc,0.02305573780457833
alt.atheism,talk.religion.misc,0.031239616339514904
comp.graphics,alt.atheism,0.013280603741325118
comp.graphics,comp.graphics,0.030629706828975214
comp.graphics,comp.os.ms-windows.misc,0.0219058556093116
comp.graphics,comp.sys.ibm.pc.hardware,0.018869399358395624
comp.graphics,comp.sys.mac.hardware,0.017234203367202557
comp.graphics,comp.windows.x,0.0196257939713177
comp.graphics,misc.forsale,0.014399980125252987
comp.graphics,rec.autos,0.013129980418731192
comp.graphics,rec.motorcycles,0.012441329533699195
comp.graphics,rec.sport.baseball,0.011971295634266407
comp.graphics,rec.sport.hockey,0.011176625375290117
comp.graphics,sci.crypt,0.01661247415423925
comp.graphics,sci.electronics,0.01535038457061362
comp.graphics,sci.med,0.012798572487409971
comp.graphics,sci.space,0.01437334862012674
comp.graphics,soc.religion.christian,0.012634597408200741
comp.graphics,talk.politics.guns,0.013483063313306448
comp.graphics,talk.politics.mideast,0.011209117434033434
comp.graphics,talk.politics.misc,0.013054206879690925
comp.graphics,talk.religion.misc,0.012621073737207486
comp.os.ms-windows.misc,alt.atheism,0.012521381958065111
comp.os.ms-windows.misc,comp.graphics,0.021905855609311606
comp.os.ms-windows.misc,comp.os.ms-windows.misc,0.041147112551662736
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,0.02339714271534889
comp.os.ms-windows.misc,comp.sys.mac.hardware,0.018523483518972778
comp.os.ms-windows.misc,comp.windows.x,0.0249284942987692
comp.os.ms-windows.misc,misc.forsale,0.015222064830934974
comp.os.ms-windows.misc,rec.autos,0.013814740045966145
comp.os.ms-windows.misc,rec.motorcycles,0.012550987980035204
comp.os.ms-windows.misc,rec.sport.baseball,0.012038088338624789
comp.os.ms-windows.misc,rec.sport.hockey,0.010885411994567261
comp.os.ms-windows.misc,sci.crypt,0.016348283446344994
comp.os.ms-windows.misc,sci.electronics,0.014949247443380626
comp.os.ms-windows.misc,sci.med,0.012114241570151708
comp.os.ms-windows.misc,sci.space,0.013190971132037632
comp.os.ms-windows.misc,soc.religion.christian,0.01191494638250974
comp.os.ms-windows.misc,talk.politics.guns,0.013447819007112314
comp.os.ms-windows.misc,talk.politics.mideast,0.010709280538041035
comp.os.ms-windows.misc,talk.politics.misc,0.01296832615500721
comp.os.ms-windows.misc,talk.religion.misc,0.011942410034273132
comp.sys.ibm.pc.hardware,alt.atheism,0.0133285019652867
comp.sys.ibm.pc.hardware,comp.graphics,0.018869399358395624
comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,0.023397142715348894
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,0.038230002435566415
comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,0.02518487407837507
comp.sys.ibm.pc.hardware,comp.windows.x,0.016933592831488983
comp.sys.ibm.pc.hardware,misc.forsale,0.019613650552885283
comp.sys.ibm.pc.hardware,rec.autos,0.015198539010602618
comp.sys.ibm.pc.hardware,rec.motorcycles,0.013617829395352771
comp.sys.ibm.pc.hardware,rec.sport.baseball,0.012464130508236084
comp.sys.ibm.pc.hardware,rec.sport.hockey,0.011656606204129191
comp.sys.ibm.pc.hardware,sci.crypt,0.017739591546930014
comp.sys.ibm.pc.hardware,sci.electronics,0.017809694389127995
comp.sys.ibm.pc.hardware,sci.med,0.013036350012769607
comp.sys.ibm.pc.hardware,sci.space,0.013663544850644816
comp.sys.ibm.pc.hardware,soc.religion.christian,0.012624604792745285
comp.sys.ibm.pc.hardware,talk.politics.guns,0.014396537442616679
comp.sys.ibm.pc.hardware,talk.politics.mideast,0.01153776717395195
comp.sys.ibm.pc.hardware,talk.politics.misc,0.0136999837768739
comp.sys.ibm.pc.hardware,talk.religion.misc,0.012881550936298702
comp.sys.mac.hardware,alt.atheism,0.013717652345627733
comp.sys.mac.hardware,comp.graphics,0.017234203367202557
comp.sys.mac.hardware,comp.os.ms-windows.misc,0.018523483518972778
comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,0.02518487407837507
comp.sys.mac.hardware,comp.sys.mac.hardware,0.03518313258306183
comp.sys.mac.hardware,comp.windows.x,0.015544384685076362
comp.sys.mac.hardware,misc.forsale,0.018116367364229325
comp.sys.mac.hardware,rec.autos,0.015435234740819238
comp.sys.mac.hardware,rec.motorcycles,0.013964291458745712
comp.sys.mac.hardware,rec.sport.baseball,0.012797097661619081
comp.sys.mac.hardware,rec.sport.hockey,0.012182716885155504
comp.sys.mac.hardware,sci.crypt,0.017340720833025937
comp.sys.mac.hardware,sci.electronics,0.017564630442368494
comp.sys.mac.hardware,sci.med,0.01321037769903259
comp.sys.mac.hardware,sci.space,0.014160386806046256
comp.sys.mac.hardware,soc.religion.christian,0.012898927385518606
comp.sys.mac.hardware,talk.politics.guns,0.01479098454448594
comp.sys.mac.hardware,talk.politics.mideast,0.01195302795197983
comp.sys.mac.hardware,talk.politics.misc,0.014233425549327609
comp.sys.mac.hardware,talk.religion.misc,0.013108664784293608
comp.windows.x,alt.atheism,0.012518230181845821
comp.windows.x,comp.graphics,0.0196257939713177
comp.windows.x,comp.os.ms-windows.misc,0.024928494298769203
comp.windows.x,comp.sys.ibm.pc.hardware,0.016933592831488983
comp.windows.x,comp.sys.mac.hardware,0.015544384685076362
comp.windows.x,comp.windows.x,0.03303945583487094
